Id,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Activity Level,Day of the Week,...18,Duplicates,Total,Activity Level Table,Count,Day,Average_TotalSteps,Date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Avg_Daily_HeartRate,Next_Day_Steps,Sleep_Inefficiency,Poor_Recovery,Elevated_RHR,High_Strain_Segment
1503960366,13162,8.5,8.5,0,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1985,Active,Tuesday,NA,Id,59,Active,303,Monday,7780.87,2016-04-12,1,327,346,NA,10735,0.05491329479768786,FALSE,NA,Normal Day
1503960366,10735,6.96999979,6.96999979,0,1.570000052,0.6899999976,4.7100000380000004,0,21,19,217,776,1797,Active,Wednesday,NA,ActivityDate,59,Moderate,334,Tuesday,8125.01,2016-04-13,2,384,407,NA,10460,0.056511056511056514,FALSE,NA,Normal Day
1503960366,10460,6.739999771,6.739999771,0,2.4400000570000002,0.400000006,3.910000086,0,30,11,181,1218,1776,Active,Thursday,NA,TotalSteps,59,Sedentary,303,Wednesday,7559.37,2016-04-14,NA,NA,NA,NA,9762,NA,NA,NA,Normal Day
1503960366,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,Moderate,Friday,NA,TotalDistance,59,NA,NA,Thursday,7405.84,2016-04-15,1,412,442,NA,12669,0.06787330316742081,FALSE,NA,Normal Day
1503960366,12669,8.159999847,8.159999847,0,2.710000038,0.4099999964,5.0399999619999996,0,36,10,221,773,1863,Active,Saturday,NA,Calories,59,NA,NA,Friday,7448.23,2016-04-16,2,340,367,NA,9705,0.07356948228882834,FALSE,NA,Normal Day
1503960366,9705,6.480000019,6.480000019,0,3.1900000570000002,0.7799999714,2.50999999,0,38,20,164,539,1728,Moderate,Sunday,NA,NA,NA,NA,NA,Saturday,8152.98,2016-04-17,1,700,712,NA,13019,0.016853932584269662,FALSE,NA,Normal Day
1503960366,13019,8.590000153,8.590000153,0,3.25,0.6399999857,4.7100000380000004,0,42,16,233,1149,1921,Active,Monday,NA,NA,NA,NA,NA,Sunday,6933.23,2016-04-18,NA,NA,NA,NA,15506,NA,NA,NA,Normal Day
1503960366,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,Active,Tuesday,NA,NA,NA,NA,NA,NA,NA,2016-04-19,1,304,320,NA,10544,0.05,FALSE,NA,Normal Day
1503960366,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,Active,Wednesday,NA,NA,NA,NA,NA,NA,NA,2016-04-20,1,360,377,NA,9819,0.04509283819628647,FALSE,NA,Normal Day
1503960366,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,Moderate,Thursday,NA,NA,NA,NA,NA,NA,NA,2016-04-21,1,325,364,NA,12764,0.10714285714285714,FALSE,NA,Normal Day
1503960366,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,Active,Friday,NA,NA,NA,NA,NA,NA,NA,2016-04-22,NA,NA,NA,NA,14371,NA,NA,NA,Normal Day
1503960366,14371,9.039999962,9.039999962,0,2.8099999429999998,0.8700000048,5.360000134,0,41,21,262,732,1949,Active,Saturday,NA,NA,NA,NA,NA,NA,NA,2016-04-23,1,361,384,NA,10039,0.059895833333333336,FALSE,NA,Normal Day
1503960366,10039,6.409999847,6.409999847,0,2.920000076,0.2099999934,3.279999971,0,39,5,238,709,1788,Active,Sunday,NA,NA,NA,NA,NA,NA,NA,2016-04-24,1,430,449,NA,15355,0.042316258351893093,FALSE,NA,Normal Day
1503960366,15355,9.800000191,9.800000191,0,5.2899999619999996,0.5699999928,3.9400000570000002,0,73,14,216,814,2013,Active,Monday,NA,NA,NA,NA,NA,NA,NA,2016-04-25,1,277,323,NA,13755,0.14241486068111456,FALSE,NA,Normal Day
1503960366,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.5399999619999996,0,31,23,279,833,1970,Active,Tuesday,NA,NA,NA,NA,NA,NA,NA,2016-04-26,1,245,274,NA,18134,0.10583941605839416,FALSE,NA,Normal Day
1503960366,18134,12.21000004,12.21000004,0,6.400000095,0.4099999964,5.409999847,0,78,11,243,1108,2159,Active,Wednesday,NA,NA,NA,NA,NA,NA,NA,2016-04-27,NA,NA,NA,NA,13154,NA,NA,NA,Normal Day
1503960366,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,Active,Thursday,NA,NA,NA,NA,NA,NA,NA,2016-04-28,1,366,393,NA,11181,0.06870229007633588,FALSE,NA,Normal Day
1503960366,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,Active,Friday,NA,NA,NA,NA,NA,NA,NA,2016-04-29,1,341,354,NA,14673,0.03672316384180791,FALSE,NA,Normal Day
1503960366,14673,9.25,9.25,0,3.5599999429999998,1.419999957,4.269999981,0,52,34,217,712,1947,Active,Saturday,NA,NA,NA,NA,NA,NA,NA,2016-04-30,1,404,425,NA,10602,0.04941176470588235,FALSE,NA,Normal Day
1503960366,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,Active,Sunday,NA,NA,NA,NA,NA,NA,NA,2016-05-01,1,369,396,NA,14727,0.06818181818181818,FALSE,NA,Normal Day
1503960366,14727,9.710000038,9.710000038,0,3.210000038,0.5699999928,5.920000076,0,41,15,277,798,2004,Active,Monday,NA,NA,NA,NA,NA,NA,NA,2016-05-02,1,277,309,NA,15103,0.10355987055016182,FALSE,NA,Normal Day
1503960366,15103,9.659999847,9.659999847,0,3.7300000190000002,1.049999952,4.8800001140000004,0,50,24,254,816,1990,Active,Tuesday,NA,NA,NA,NA,NA,NA,NA,2016-05-03,1,273,296,NA,11100,0.0777027027027027,FALSE,NA,Normal Day
1503960366,11100,7.150000095,7.150000095,0,2.460000038,0.8700000048,3.819999933,0,36,22,203,1179,1819,Active,Wednesday,NA,NA,NA,NA,NA,NA,NA,2016-05-04,NA,NA,NA,NA,14070,NA,NA,NA,Normal Day
1503960366,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.8800001140000004,0,45,24,250,857,1959,Active,Thursday,NA,NA,NA,NA,NA,NA,NA,2016-05-05,1,247,264,NA,12159,0.06439393939393939,FALSE,NA,Normal Day
